Id,PlayerId,PointsBefore,PointsAfter,ActionTime
4,0,0,15,15/01/2025 08:13:09
5,0,15,40,15/01/2025 08:13:12
6,0,0,15,15/01/2025 08:13:22
7,0,15,30,15/01/2025 08:13:48
8,0,0,15,15/01/2025 08:33:16
9,0,0,15,15/01/2025 13:19:06
10,0,15,40,15/01/2025 13:19:09
11,0,0,15,15/01/2025 13:19:19
12,0,15,30,15/01/2025 13:19:32
13,0,30,40,15/01/2025 13:19:38
14,0,50,50,15/01/2025 13:20:11
15,0,50,50,15/01/2025 13:20:20
16,0,50,50,15/01/2025 13:20:23
17,0,50,50,15/01/2025 13:20:26
18,0,50,50,15/01/2025 13:20:33
19,0,50,50,15/01/2025 13:20:46
20,0,50,50,15/01/2025 13:20:49
21,0,50,50,15/01/2025 13:20:56
22,0,50,50,15/01/2025 13:20:59
23,0,0,30,15/01/2025 13:22:09
24,0,30,40,15/01/2025 13:22:12
25,0,0,30,15/01/2025 13:22:26
26,0,30,40,15/01/2025 13:22:31
27,0,0,15,15/01/2025 13:23:23
28,0,15,40,15/01/2025 13:24:48
29,0,0,15,15/01/2025 13:25:08
30,0,15,30,15/01/2025 13:25:17
31,0,30,40,15/01/2025 13:25:26
32,0,0,15,15/01/2025 13:27:10
33,0,15,40,15/01/2025 13:27:24
34,0,0,30,15/01/2025 13:27:38
35,0,30,40,15/01/2025 13:27:41
36,0,0,30,15/01/2025 13:27:52
37,0,30,40,15/01/2025 13:27:56
38,0,0,30,15/01/2025 13:28:09
39,0,30,40,15/01/2025 13:28:16
40,0,0,15,15/01/2025 13:52:23
41,0,15,40,15/01/2025 13:52:26
42,0,0,15,15/01/2025 13:52:36
43,0,15,30,15/01/2025 13:52:49
44,0,30,40,15/01/2025 13:52:56
45,0,0,30,15/01/2025 13:54:04
46,0,30,40,15/01/2025 13:54:07
47,0,0,15,15/01/2025 13:54:47
48,0,15,30,15/01/2025 13:55:00
49,0,30,40,15/01/2025 13:55:10
50,0,0,30,15/01/2025 13:56:50
51,0,30,40,15/01/2025 13:56:53
52,0,0,30,15/01/2025 13:57:09
53,0,30,40,15/01/2025 13:57:19
54,0,0,30,15/01/2025 13:58:13
55,0,30,40,15/01/2025 13:58:34
56,0,0,15,15/01/2025 13:58:50
57,0,15,40,15/01/2025 13:59:42
58,0,0,15,15/01/2025 14:26:02
59,0,15,30,15/01/2025 14:26:15
60,0,30,40,15/01/2025 14:26:28
61,0,0,30,15/01/2025 14:26:52
62,0,0,15,15/01/2025 14:32:18
63,0,15,30,15/01/2025 14:32:25
64,0,0,15,15/01/2025 14:32:38
65,0,15,30,15/01/2025 14:32:51
66,0,0,15,15/01/2025 14:33:05
67,0,15,30,15/01/2025 14:33:18
68,0,0,15,15/01/2025 14:51:02
69,0,0,15,15/01/2025 14:51:15
70,0,15,30,15/01/2025 14:51:35
71,0,30,40,15/01/2025 14:51:41
72,0,0,15,15/01/2025 14:52:28
73,0,15,30,15/01/2025 14:52:41
74,0,0,15,15/01/2025 14:53:17
75,0,15,30,15/01/2025 14:53:23
76,0,0,15,15/01/2025 14:53:43
77,0,0,15,15/01/2025 15:49:04
78,0,0,15,15/01/2025 16:01:02
79,1,0,15,15/01/2025 16:01:09
80,1,15,30,15/01/2025 16:01:18
81,0,15,40,15/01/2025 16:01:20
82,1,0,15,15/01/2025 16:01:37
